name,description,killed,year,duration,country
Politicide against Mobutu opponents,"Zaire, 1977-83 G",3500,1977,6,Zaire
,"Nepal (Maoist rebellion), 1996-",3500,1996,,Nepal
Third Bearnese Revolt,"France (Huguenots, with intervention by England), 1627-29",3450,1627,2,France
,"China (Liaoning), 1582",3300,1582,0,China
Franco-Savoian War,"France-Savoy, 1600-01",3300,1600,1,France
,"Turkey, Tartars-Moldavia, (Poland-Lithuania), 1484-89",3200,1484,5,Turkey
Texan Revolt,"Texas-Mexico, 1835-36",3200,1835,1,Texas
Ethiopian Civil War,"Ethiopia, 1867",3200,1867,0,Ethiopia
Sino-Soviet War,"Soviet Union-China, 1929",3200,1929,0,Soviet Union
Naga Revolt,"India-Nagas, 1955-64",3200,1955,9,India
,"Britain (Northern Ireland), 1968-93",3200,1968,25,United_Kingdom
,"Muscovy-Crimea, 1554-59",3120,1554,5,Muscovy
,"Britain-India (Gwalior), 1843",3100,1843,0,United_Kingdom
Third Carnatic War,"France-England (India), 1758-61",3079,1758,3,France
,"Scotland-England, 1402-03",3000,1402,1,Scotland
,"China (Yunnan), 1440-1445",3000,1440,5,China
,"Turkey-Hungary, 1454-56",3000,1454,2,Turkey
,"Hungary-Turkey, 1462-64",3000,1462,2,Hungary
,"China (Miao in Hunan, Guizhou), 1466-67",3000,1466,1,China
,"France-Burgundy, Austria, 1477-79",3000,1477,2,France
Charles VIII Invasion of Italy,"France-Naples, 1494-95",3000,1494,1,France
,"Hungary-France, 1495-97",3000,1495,2,Hungary
Moorish Insurrection,"Spain (Moors), 1509-11",3000,1509,2,Spain
Conquest of Goa,"Portugal-Goa (India), 1510",3000,1510,0,Portugal
Scottish War,"England-Scotland, France, 1522-23",3000,1522,1,England
,"China (Guangxi), 1528",3000,1528,0,China
,"Japan (religious, Kyoto), 1536",3000,1536,0,Japan
Ghent's Insurrection,"Spain (Ghent), 1539-40",3000,1539,1,Spain
,"China (minority in Sichuan), 1585-86",3000,1585,1,China
,"Zimba-Tanzania, Kenya, Portugal, 1587-88",3000,1587,1,Zimba
,"Tumed-Caqars (China), 1629",3000,1629,0,Tumed
,"Crimean Tartars-Russia, 1632-41",3000,1632,9,Crimean Tartars
Second English Civil War,"England (with Scottish involvement), 1648-51",3000,1648,0,England
Dutch-Portuguese War in West Africa,"Portugal-United Provinces, Kongo, Matambo (Angola), 1648",3000,1648,0,Portugal
Cromwell's Irish Campaign,"England (Ireland), 1649-52",3000,1649,3,England
First British-Maratha War,"Marathas-Britain (India), 1775-82",3000,1775,7,Marathas
Piedmont conflict,"Piedmont (with support from Austria-Hungary) (Carbonarists), 1821",3000,1821,0,Piedmont
First Ashanti War,"Ashantis (Ghana)-Britain, 1823-26",3000,1823,3,Ashanti
,"Britain-Tasmanians, 1825-30",3000,1825,5,United_Kingdom
,"Belgium (aided by France, Britain)-Holland, 1831-33",3000,1831,2,Belgium
,"France (Lyon), 1831",3000,1831,0,France
,"France-Annam (Vietnam), 1833-39",3000,1833,6,France
,"France (Lyon and Paris), 1834",3000,1834,0,France
,"Turkey-Bosnians, 1836-37",3000,1836,1,Turkey
Eighth Kaffir War,"Britain-Kaffirs (South Africa), 1850-53",3000,1850,3,United_Kingdom
,"Chile (Liberals), 1851",3000,1851,0,Chile
,"Boers-Bantu, 1854",3000,1854,0,Boers
Anglo-Persian War,"Britain-Persia, 1856-57",3000,1856,1,United_Kingdom
,"Peru, 1856-58",3000,1856,2,Peru
,"Colombia (Liberals), 1860-62",3000,1860,2,Colombia
Syrian War,"Syria (Lebanon) (with intervention by France), 1860-61",3000,1860,1,Syria
,"Venezuela, 1868-71",3000,1868,3,Venezuela
Serbo-Bulgar War,"Serbia-Bulgaria (with Austrian intervention), 1885",3000,1885,1,Serbia
Second Cretan Revolt,"Crete-Turkey, 1888-89",3000,1888,1,Crete
Raids of the Black Hundreds,"Russia (against Jews), 1905",3000,1905,0,Russia
,"Russia-Japan, 1918-22",3000,1918,7,Russia
Tunisian War of Independence,"Tunisians-France, 1952-54",3000,1952,2,Tunisians
Moroccan War of Independence,"Moroccans-France, Spain, 1953-56",3000,1953,3,Moroccans
,"Indonesia-Malaysia (assisted by Britain, Australia, New Zealand), 1963-66",3000,1963,3,Indonesia
,"Dominican Republic (with intervention by USA), 1965-66",3000,1965,1,Dominican_Republic
,"Chile (miners), 1987",3000,1987,0,Chile
,"Liberia, 1992-95",3000,1992,3,Liberia
,"China-Japanese pirates (Zhejiang, Shanghai, Jiangsu), 1552-53",2852,1552,5,China
,"China (Yao in Guangxi, Hunan), 1462",2800,1462,0,China
Lebanese War,"Israel-Palestinians in Lebanon, Syria, 1982",2755,1982,0,Israel
Glendower's Revolt,"England (Wales, with intervention by France), 1402-09",2700,1402,7,England
,"Korea-Japanese pirates (Tsushima Island or Nagasaki), 1419",2623,1419,0,Korea
Tunis Expedition,"Emperor (Spain)-Algiers (Tunis), Turkey, 1535",2500,1535,0,Emperor in Spain
,"Poland (Confederation and Sapolski), 1590",2500,1590,0,Poland
,"Oman-Portugal (Mombassa, Kenya), 1696-1698",2500,1696,2,Oman
British-Swedish War,"Britain-Sweden, 1715-19",2500,1715,4,United_Kingdom
Scotch Civil War,"Britain (Scotland), 1745-46",2500,1745,1,United_Kingdom
,"China-Kokand (Kashgaria) (Kirghistan), 1857",2500,1857,0,China
Italo-Roman War,"Piedmont-Papal States (with French intervention), 1860",2500,1860,0,Piedmont
,"Egypt-Slavers, 1878-79",2500,1878,1,Egypt
Rif War,"Morocco-Spain (Melilla), 1893-94",2500,1893,1,Morocco
,"France-Morocco, 1928-33",2500,1928,5,France
,"(Poland-Lithuania)-Moldavia, 1497-98",2400,1497,1,(Poland-Lithuania)
,"Muscovy-Kazan Tartars, 1506-07",2400,1506,1,Muscovy
,"(Poland-Lithuania)-Teutonic Order, 1519-20",2400,1519,1,(Poland-Lithuania)
,"Crimean and Kazan Tartars, Cossacks-Muscovy, 1521",2400,1521,0,Crimean Tartars
,"Poland-Moldavia, 1527-31",2400,1527,4,Poland
Ottoman War,"Poland-Turkey, 1583-90",2400,1583,7,Poland
Great Northern War,"(Poland-Lithuania)-Teutonic Order, 1409-11",2300,1409,2,(Poland-Lithuania)
,"China (Tartars in Liaoning), 1589-91",2280,1589,2,China
,"Poland (Cossacks of Sagaidatchny), 1605",2250,1605,0,Poland
Savoian War,"Savoy-Spain, 1615-17",2250,1615,2,Savoy
,"Poland (Cossacks of Taras), 1628",2250,1628,0,Poland
Cossack Revolt,"Poland (Cossacks of Pavluk), 1637",2250,1637,0,Poland
,"Poland (Cossacks of Ostraniitza), 1638",2250,1638,0,Poland
Second Mysore War,"Mysore-Britain (India), 1781-84",2250,1781,3,Mysore
Egyptian War,"Egypt (with British intervention), 1881-82",2250,1881,1,Egypt
,"Haiti (with US intervention), 1915-16",2200,1915,1,Haiti
,"China (Tartars in Liaoning), 1578-79",2180,1578,1,China
Russo-Persian War,"Russia-Persia, 1796-97",2150,1796,1,Russia
Sinai War,"Israel, Britain, France-Egypt, 1956",2150,1956,0,Israel
,"Venice-Austria, 1848-49",2100,1848,1,Venice
,"France (Burgundian civil war), 1408-10",2000,1408,2,France
,"China (Sichuan), 1461",2000,1461,0,China
War of Podiebrad,"Emperor-Bohemia, 1462",2000,1462,0,Emperor
,"Spain-Portugal, 1476-79",2000,1476,3,Spain
,"Turkey-Hungary, 1481-83",2000,1481,2,Turkey
First War of Louis XII for Milan,"France, Venice-Milan, emperor, 1499-1500",2000,1499,1,France
,"Portugal-Moslem India, 1509",2000,1509,0,Portugal
Knight's War,"Trier, Hesse, Palatinate-(imperial knights), 1522-23",2000,1522,1,Trier
,"China (Guizhou), 1549-50",2000,1549,1,China
First Phase of Eighty Years War,"Netherlands-Spain, 1566-68",2000,1566,2,Netherlands
,"Poland (Cossacks of Nalivaiko), 1596",2000,1596,0,Poland
Spanish-Savoian War,"Italy (Venice?)-Spain, 1613-17",2000,1613,4,Italy
Spanish-Turkish War,"Spain-Turkey, 1618-19",2000,1618,1,Spain
Croquant Rebellion,"France, 1636-37",2000,1636,1,France
,"China (Qing)-South Ming (Burma), 1661",2000,1661,0,China
War of the Devolution,"France-Spain (with Dutch, English, Swedish intervention), 1667-68",2000,1667,1,France
Covenanter Rising,"England (Scottish Covenanters), 1679",2000,1679,0,England
Crimean Expedition of Prince Golitzin,"Russia-Crimean Tartars, 1687",2000,1687,0,Russia
Second Crimean Expedition of Prince Golitzin,"Russia-Crimean Tartars, 1689",2000,1689,0,Russia
,"Russia-Turkey (Moldavia, Prut River), 1711",2000,1711,0,Russia
Expedition to Khiva,"Russia-Khiva, 1716-17",2000,1716,1,Russia
,"China-Dzoungar Mongols (Tibet), 1716-18",2000,1716,2,China
,"Austria (Transylvania and Wallachia), 1784-85",2000,1784,1,Austria
,"Paraguay-Spain, 1810-11",2000,1810,1,Paraguay
,"Naples (with support from Austria-Hungary) (Carbonarists), 1820-21",2000,1820,1,Naples
,"France (Paris), 1830",2000,1830,0,France
War of the Peruvian-Bolivian Confederation,"Chile-Bolivia, Peru, 1836-39",2000,1836,3,Chile
,"France-Mexico, 1838-39",2000,1838,1,France
Bosnian-Turkish War,"Turkey-Bosnia, 1841",2000,1841,0,Turkey
,"Holland-Bali, 1846-49",2000,1846,3,Netherlands
Cracow Revolt,"Poland (Galicia)-(Austria-Hungary), Prussia, 1846",2000,1846,0,Poland
German Revolution of 1848,"Germany (risings in German states suppressed by Prussia), 1849",2000,1848,2,Germany
,"Dards-Dogras (northern Pakistan), 1852",2000,1852,0,Dards
Walker's Invasion of Nicaragua,"Nicaragua, 1855-56",2000,1855,1,Nicaragua
,"Ethiopia, 1861",2000,1861,0,Ethiopia
,"Argentina (Provinces), 1870-71",2000,1870,1,Argentina
Ceremonial massacre,"Uganda, 1880",2000,1880,0,Uganda
,"(Austria-Hungary)-Dalmatia, 1882",2000,1882,0,(Austria-Hungary)
,"Brazil (Conservatives), 1893-94",2000,1893,1,Brazil
First Philippine War,"Filipinos-Spain, 1896-98",2000,1896,2,Filipinos
Greco-Turkish War,"Greece-Turkey, 1897",2000,1897,0,Greece
Hut Tax War,"Britain-Sierra Leone, 1898",2000,1898,0,United_Kingdom
,"Tanzania-Germany, 1899-1900",2000,1899,1,Tanzania
,"Romania (peasants), 1907",2000,1907,0,Romania
,"Paraguay, 1911-12",2000,1911,1,Paraguay
Tibetan War of Independence,"Tibet-China, 1912-13",2000,1912,1,Tibet
Second Moroccan War,"France, Spain-Caids (Morocco), 1916-17",2000,1916,1,France
Iraqi-British War,"Britain-Iraq, 1920-21",2000,1920,1,United_Kingdom
,"Costa Rica (Caldoron with Nicaraguan and Honduran support), 1948",2000,1948,0,Costa_Rica
Hyderabad War,"India-Hyderabad, 1948",2000,1948,0,India
Sino-Tibetan War,"China-Tibet, 1950-51",2000,1950,1,China
,"Bolivia, 1952",2000,1952,0,Bolivia
,"Iraq, 1959",2000,1959,0,Iraq
,"Uganda, 1966",2000,1966,0,Uganda
Politicide of Naxalites,"India, 1968-82 G",2000,1968,14,India
,"Jordan, 1970",2000,1970,0,Jordan
,"Rwanda, 1990-94",2000,1990,4,Rwanda
Kurdish Rebellion,"Turkey (leftists), 1991-92",2000,1991,1,Turkey
,"Congo (Brazzaville), 1993",2000,1993,0,Congo
,"China (Tartars in Gansu), 1598",1900,1598,0,China
,"France, Savoy, Venice, England-Spain, emperor, Genoa (Valtellina), 1624-26",1900,1624,2,France
,"Muscovy-Novgorod, 1471-75",1800,1471,4,Muscovy
,"Poland-Crimean Tartars, 1526-28",1800,1526,2,Poland
,"China (Guizhou), 1550",1800,1550,0,China
Third Huguenot War,"France (Huguenots), 1568-70",1800,1568,2,France
,"China (Tartars in Liaoning), 1585-86",1800,1585,1,China
,"Turkey, Tartars-Poland, Hungary, 1625-27, 1631-34",1800,1625,9,Turkey
Changkufeng War,"Japan-Soviet Union, 1938",1726,1938,0,Japan
,"Morocco (Fez)-France, 1910-11",1650,1910,1,Morocco
,"Muscovy-Lithuania, 1445",1600,1445,0,Muscovy
,"Muscovy-Sweden, 1495-97",1600,1495,2,Muscovy
Polish War with Turks in Moldavia,"(Poland-Lithuania)-Turkey, Tartars (Wallachia), 1497-99",1600,1497,2,(Poland-Lithuania)
Fourth Huguenot War,"France (Huguenots), 1572-73",1600,1572,1,France
First Bearnese Revolt,"France (Huguenots), 1621-22",1600,1621,1,France
,"Chinese-United Provinces (Formosa), 1661",1600,1661,0,Chinese
Spanish Revolution of 1868,"Spain, 1868-70",1600,1868,2,Spain
,"Morocco (Fez), 1912",1600,1912,0,Morocco
Socialists Putsch,"Austria, 1934",1600,1934,0,Austria
,"Indonesia-Netherlands, 1947-48",1600,1947,1,Indonesia
First Carnatic War,"France-England (India), 1744-48",1580,1744,4,France
Second Carnatic War,"France-England (India), 1749-54",1512,1749,5,France
,"England-Scotland, 1480",1500,1480,0,England
Campaign of Henry Tudor (Wars of the Roses),"England (dynastic), 1485",1500,1485,0,England
Moriscos' Revolt,"Spain (Moriscos in Granada), 1568-71",1500,1568,3,Spain
,"Spain-Algiers, Tunis, 1666-67",1500,1666,1,Spain
Barbary States War,"Spain-Algiers, 1672-73",1500,1672,1,Spain
Second Burma War,"Britain-Burma, 1852-53",1500,1852,1,United_Kingdom
,"Russia-Circassians (Caucasus), 1859-64",1500,1859,5,Russia
,"Russia-Bokhara (Tadjikistan, Uzbekistan), 1865-68",1500,1865,3,Russia
Bahr-el-Ghazal conflict,"Egypt-Zobeir's Army, 1869-70",1500,1869,1,Egypt
Algerian War,"Algeria-France, 1871-72",1500,1871,1,Algeria
,"Egypt-Darfur, 1873-75",1500,1873,2,Egypt
,"Argentina-Indians (Patagonians), 1878-83",1500,1878,5,Argentina
Tunisian Expedition,"France-Tunisia, 1881-82",1500,1881,1,France
Mozambique conflict,"Britain-Arabs, Yaos (Nyasaland (Mozambique)), 1885-96",1500,1885,11,United_Kingdom
First Dahomey-French War,"France-Dahomey (Benin, Nigeria), 1889-90",1500,1889,1,France
,"Brazil (Rio Grande do Sol), 1891-95",1500,1891,4,Brazil
Second Dahomey-French War,"France-Dahomey (Benin), 1892-93",1500,1892,1,France
,"Uganda, 1893",1500,1893,0,Uganda
Nigerian War,"Britain-western Nigeria (Benin), 1897",1500,1897,0,United_Kingdom
Ugandan Mutiny,"Sudanese mercenaries in Uganda and Kenya-Britain, 1897-1901 ",1500,1897,4,Sudanese mercenaries
,"France-Chad, Borkou, Tibesti, 1902-14",1500,1902,12,France
,"Britain-Tibet, 1903-04",1500,1903,1,United_Kingdom
Russian Revolution of 1905,"Russia (St. Petersburg, Moscow), 1905-06",1500,1905,1,Russia
Chinese Civil War,"China (Hubei), 1911-12",1500,1911,1,China
,"Britain-Somalis (Dervishes), 1913-20",1500,1913,7,United_Kingdom
Yunnan Rebellion,"China (Yunnan), 1917",1500,1917,0,China
First Sino-Tibetan War,"China-Tibet, 1918",1500,1918,0,China
Third Afghan War,"Afghanistan-Britain, 1919",1500,1919,0,Afghanistan
Khost Rebellion,"Afghanistan (Khosts, Mangals, Sulaiman Khel, Ali Khel), 1924-25",1500,1924,1,Afghanistan
,"Algeria, 1962-63",1500,1962,1,Algeria
,"Chad (Tibesti), 1965-71",1500,1965,6,Chad
,"Congo (Brazzaville), 1998-",1500,1998,,Congo
,"France (Burgundian civil war), 1405-07",1440,1405,2,France
,"China (Tartars in Shenxi and Ningxia), 1594-96",1440,1594,2,China
,"China (Hubei), 1470",1400,1470,0,China
,"England-France, 1475",1400,1475,0,England
Second (Third?) Maori War,"Britain-Maoris (New Zealand), 1863-66",1400,1863,3,United_Kingdom
,"Colombia (Conservatives), 1948",1400,1948,0,Colombia
,"Lebanon (with intervention by Syria, USA), 1958",1400,1958,0,Lebanon
Scottish War,"England-Scotland, 1542",1300,1542,0,England
,"China (Guangdong), 1574",1300,1574,0,China
Argentine Civil War,"Argentina-Brazil, Uruguay, Argentine province, 1851-52",1300,1851,1,Argentina
,"Spain (Asturias), 1934",1300,1934,0,Spain
,"Indonesia (Celebes, Christians vs Muslims), 1999",1300,1999,,Indonesia
,"India (Kashmir), 1999",1250,1999,0,India
Invasion of Edigey?,"Muscovy-Volga, Tartars, 1406-08",1200,1406,2,Muscovy
,"Muscovy-Kazan Tartars, 1530-31",1200,1530,1,Muscovy
,"Muscovy-Kazan Tatars, 1547",1200,1547,0,Muscovy
,"Muscovy-Astrakhan, 1554-56",1200,1554,2,Muscovy
,"China (Guangdong), 1560",1200,1560,0,China
,"China (Guangdong, Jiangxi), 1562",1200,1562,0,China
,"Poland (Galicia)-Crimean Tartars, 1575-76",1200,1575,1,Poland
,"Crimean Tartars-Muscovy, 1591-98",1200,1591,7,Crimean Tartars
Doroshenko War,"Poland (Cossacks, aided by Tartars), 1668-69",1200,1668,1,Poland
,"Savoy-Genoa, 1672-74",1200,1672,2,Savoy
,"Britain-Denmark, 1801",1200,1801,0,United_Kingdom
South Africa conflict,"Boers-Basutos (South Africa), 1864-66",1200,1864,2,Boers
Rome conflict,"Italians (Garibaldians)-Papal States, France, 1867",1200,1867,0,Italians
Basuto War,"Basutos (Kaffirs?)-Britain (Cape Colony), 1880-81",1200,1880,1,Basutos
,"France-Algeria, 1881-83",1200,1881,2,France
,"Morocco, 1908",1200,1908,0,Morocco
,"Indonesia, 1998",1200,1998,0,Indonesia
Bengalese-British War,"Britain-Bengal, France, 1756-57",1138,1756,1,United_Kingdom
,"China (Liaoning), 1574",1100,1574,0,China
,"(Austria-Hungary)-Bosnians, Herzogovinians, 1835-46",1100,1835,11,(Austria-Hungary)
,"Persia (with intervention by Russia), 1908-09",1100,1908,1,Persia
Wahhabi Revolt,"Hejaz-Wahhabi (Saudi Arabia), 1924-25",1100,1924,1,Hejaz
,"France-Indochina, 1930",1100,1930,0,France
Massacre of Assyrian Christians,"Iraq (Assyrian Christians in Mosul), 1933",1100,1933,0,Iraq
,"South Korea, 1948",1100,1948,0,South_Korea
,"Algeria-France, 1949",1100,1949,0,Algeria
,"China (minority in Liaoning and Hebei), 1575-76",1060,1575,1,China
,"Romania, 1989",1039,1989,0,Romania
Five Days Revolt,"Milan-Austria, 1848",1030,1848,0,Milan
Falklands War,"Argentina-Britain, 1982",1023,1982,0,Argentina
,"Mongols (Tartars)-China (Mongolia), 1414-15",1000,1414,1,Mongolia
,"China-Japanese pirates (Liaoning), 1419",1000,1419,0,China
,"Turkey-Greece-Hungary (Bulgaria), 1444",1000,1444,0,Turkey
Revolt of Guizhou,"China (Miao in Hunan and Guizhou), 1449-53",1000,1449,4,China
,"China-Tartars (Shanxi, Hebei, Gansu), 1483-86",1000,1483,3,China
,"China-Tartars (Shanxi), 1500",1000,1500,0,China
,"Uzbeks (Khorasan)-Persia (Safavids) (Marv), 1510-12",1000,1510,2,Uzbeks
,"Hungary (peasants), 1514",1000,1514,0,Hungary
,"Austria (peasants), 1515",1000,1515,0,Austria
Kappel war,"Switzerland (religious), 1531",1000,1531,0,Switzerland
Conquest of Peru,"Spain-Peru, 1532-33",1000,1532,1,Spain
Munster Revolt (war of Anabaptists)?,"Hesse, protestant German states-Wurttemberg, 1534",1000,1534,1,Hesse
,"China (Shanxi, Shang-xi, Ningxia with Tartar intervention),",1000,1536,0,China
,"Japan (Yamanashi ken), 1548",1000,1548,0,Japan
Wyatt's Rebellion,"England, 1554",1000,1554,0,England
,"Turkey (succession), 1559",1000,1559,0,Turkey
,"India (Muslims vs south Indians (Vija Yahagar), 1565",1000,1565,0,India
Pequot War,"British settlers-Pequots (Massachusetts), 1637",1000,1637,0,British settlers
Mogul-Persian War (Wars of Aurangzeb),"Persia, Turkey-Moguls (India), 1648-53",1000,1648,5,Persia
Hungarian Magnates Revolt,"Austria (Hungarian rebellion), 1670",1000,1670,0,Austria
British Civil War,"Britain (Scotland), 1715-16",1000,1715,1,United_Kingdom
,"Spain-Portugal, England, 1762",1000,1762,0,Spain
,"Britain-American Indians, 1763",1000,1763,0,United_Kingdom
,"India (Marathas), 1802",1000,1802,0,Marathas
,"Sumatra (Malays vs. Padris), 1807-37",1000,1807,30,Sumatra
,"United States-Creek Indians, 1813-14",1000,1813,1,United_States
Algiers-USA War,"USA-Algiers, 1815",1000,1815,0,United_States
,"Holland-Sumatra, 1819-21",1000,1819,2,Netherlands
,"Argentina, 1819-20",1000,1819,1,Argentina
Aleppo conflict,"Turkey-Arabs (Aleppo), 1820",1000,1820,0,Turkey
,"Albania, 1820-22",1000,1820,2,Albania
Turko-Persian War,"Turkey-Persia, 1821",1000,1821,0,Turkey
Franco-Spanish War,"France-Spain, 1823",1000,1823,0,France
Southern Celebes conflict,"Holland-Celebes (Bonians) (Indonesia), 1825",1000,1825,0,Netherlands
French Conquest of Algeria,"France-Algiers, 1827-30",1000,1827,3,France
,"Central America, 1827-29",1000,1827,2,Central America
,"China-Kokand (West Turkestan) (Kirghistan), 1830",1000,1830,0,China
,"Argentina-Indians, 1833-34",1000,1833,1,Argentina
,"Portugal-Matahaganans (Mozambique), 1833-36",1000,1833,3,Portugal
,"Turkey-Palestinians, 1834",1000,1834,0,Turkey
,"Brazil, 1835-45",1000,1835,10,Brazil
,"Boers-Matabele Bantu (South Africa), 1836-37",1000,1836,1,Boers
,"(Ma-Kalanga)-Matabele (South Africa), 1837",1000,1837,0,(Ma-Kalanga)
,"Afghanistan-Persia, Russia (Herat), 1837-38",1000,1837,1,Afghanistan
South Africa conflict,"Matabele-Mashonas (South Africa), 1840",1000,1840,0,Matabele
Peruvian-Bolivian War,"Peru-Bolivia, 1841",1000,1841,0,Peru
France-Moroccan War,"France-Morocco, 1844",1000,1844,0,France
,"Britain-Borneo Pirates, 1845",1000,1845,0,United_Kingdom
Syrian civil war,"Turkey, Maronites-Druzes, 1845",1000,1845,0,Turkey
War of the Ax,"Britain-Kaffirs (South Africa), 1846-48",1000,1846,2,United_Kingdom
,"China (Kashgaria) (East Turkestan), 1847-48",1000,1847,1,China
,"Naples (Liberals) (with Spanish intervention), 1848",1000,1848,1,Naples
Royalist War,"France, 1851",1000,1851,0,France
,"Colombia (Democrats), 1854",1000,1854,0,Colombia
,"Britain-Santals (Bengal), 1855-56",1000,1855,1,United_Kingdom
Kabylia Uprising,"Algeria-France, 1856-57",1000,1856,1,Algeria
,"France-Fulas (Trarza?) (Senegal), 1857",1000,1857,0,France
First Buenos Aires War,"Argentina, 1859",1000,1859,0,Argentina
South Borneo conflict,"Holland-Banjermasinese (South Borneo), 1859-63",1000,1859,4,Netherlands
South Celebes conflict,"Holland-Celebes (Boninese or Bonians), 1859-60",1000,1859,1,Netherlands
Tabora conflict,"Arabs-Africans (Gazi, Siu with British intervention) (Tanzania), 1860-69",1000,1860,9,Arabs
Second Buenos Aires War,"Argentina, 1861",1000,1861,0,Argentina
,"Turkey-Montenegro, 1861-62",1000,1861,1,Turkey
Belgrade conflict,"Serbia-Turkey, 1862",1000,1862,0,Serbia
Colombia-Ecuador War,"Colombia-Ecuador, 1863",1000,1863,0,Colombia
,"Argentina (Montoneros, Northwest provinces), 1863",1000,1863,0,Argentina
Shimonoseki War,"Japan-Britain, France, Holland, 1863-64",1000,1863,1,Japan
Spanish-Peruvian War,"Spain-Peru, Chile (supported by Bolivia and Ecuador), 1865-66",1000,1865,1,Spain
,"Russia-Uzbekistan (Bokhara), 1865-68",1000,1865,3,Russia
British-Bhutanese War,"Britain-Bhutan, 1865",1000,1865,0,United_Kingdom
,"Argentina (Federalists), 1866-67",1000,1866,1,Argentina
Cretan Revolt,"Turkey-Crete (with intervention by Greece, Britain, France), 1866-68",1000,1866,2,Turkey
Restoration War,"Japan, 1868",1000,1868,0,Japan
Mitre Rebellion,"Argentina (Buenos Aires), 1874-75",1000,1874,1,Argentina
,"Sioux-USA, 1876-77",1000,1876,1,Sioux
,"Colombia (Conservatives), 1876-77",1000,1876,1,Colombia
Ninth Kaffir War,"Britain-Kaffirs (South Africa), 1877-78",1000,1877,1,United_Kingdom
,"Argentina (Patagonia), 1879",1000,1879,0,Argentina
,"Argentina (Buenos Aires), 1880",1000,1880,0,Argentina
,"Oman, 1883-84",1000,1883,1,Oman
,"France-Hovas (Madagascar) (with British support for Hovas), 1883-85",1000,1883,2,France
,"Colombia (Panama, with US intervention), 1884-85",1000,1884,1,Colombia
Fifth Central American War,"Guatemala, Honduras-El Salvador, Costa Rica, Nicaragua, 1885",1000,1885,0,Guatemala
First Mandingo-French War,"France-Samori (Ivory Coast), 1885-86",1000,1885,1,France
,"Uganda (religious), 1885-90",1000,1885,8,Uganda
Panjdeh Incident,"Russia-Afghanistan, 1885",1000,1885,0,Russia
First Italo-Ethiopian War,"Italy-Ethiopia, 1887-88",1000,1887,1,Italy
,"Tanganyikans (Swahili), Arabs (Zanzibar)-Germany (with assistance from Britain), 1888-90",1000,1888,2,Tanganyikans
Second Senegalese War,"France-Senegal, 1890-92",1000,1890,2,France
,"France-Upper Volta, Niger, 1890-98",1000,1890,8,France
Balian War,"Balinese-Sasaks (with Dutch intervention) (Indonesia), 1891-94",1000,1891,3,Balinese
,"Uganda (with British intervention), 1892",1000,1892,0,Uganda
Franco-Thai War,"France-Siam, 1892-93",1000,1892,1,France
Third Ashanti War,"Britain-Ashantis (Ghana), 1893-94",1000,1893,1,United_Kingdom
,"France-Tuaregs (Mali), 1893-95",1000,1893,2,France
,"Germans-Wahemes (Tanzania), 1894-98",1000,1894,4,Germans
Balian War,"Netherlands-Lombok (Indonesia), 1894",1000,1894,0,Netherlands
,"Britain-Masrui (Kenya), 1895-96",1000,1895,1,United_Kingdom
Third Cretan Revolt,"Turkey (Crete aided by Greece), 1896-98",1000,1896,2,Turkey
Druze-Turkish War,"Turkey-Syria (Druzes), 1896",1000,1896,0,Turkey
,"Britain-Mashonas, Matabele (Zimbabwe), 1896-99",1000,1896,3,United_Kingdom
Indian-Muslim War,"Britain-India (Afridi Muslims), 1897-98",1000,1897,1,United_Kingdom
,"France-Chad (Bornu), 1899-1901",1000,1899,2,France
,"Britain-Ashanti (Ghana), 1900-03",1000,1900,3,United_Kingdom
,"Uruguay, 1904",1000,1904,0,Uruguay
,"France-Senussi (Libya), 1904-11",1000,1904,7,France
,"China-Tibet, 1905-06",1000,1905,1,China
Central American War,"Guatemala-Honduras, El Salvador, 1906",1000,1906,0,Guatemala
Central American War,"Nicaragua-Honduras, El Salvador, 1907",1000,1907,0,Nicaragua
,"Netherlands-Venezuela, 1908",1000,1908,0,Netherlands
,"Morocco (Middle Atlas) (Zaians, with French involvement), 1914-17",1000,1914,3,Morocco
Struggle for East Galicia,"Poland-Ukraine (Galicia), 1918-19",1000,1918,1,Poland
Irish Rebellion,"Irish-Britain, 1919-22",1000,1919,3,Irish
,"Britain-Waziristan (Pakistan), 1919-20",1000,1919,1,United_Kingdom
Vilna War,"Poland-Lithuania (Vilna), 1920",1000,1920,0,Poland
,"France-Tache de Taza (Morocco), 1923",1000,1923,0,France
,"Honduras (with intervention by USA), 1924",1000,1924,0,Honduras
,"Javanese (Communists)-Netherlands, 1926-27",1000,1926,1,Javanese
,"China (Feng), 1929",1000,1929,0,China
,"China (western Honan), 1930",1000,1930,0,China
,"Brazil (states, Sao Paulo), 1932",1000,1932,0,Brazil
Night of the Long Knives,"Germany, 1934",1000,1934,0,Germany
,"China-Mongols (Suiyan) (Inner Mongolia), 1936",1000,1936,0,China
,"Bolivia, 1946",1000,1946,0,Bolivia
,"Philippines (Huks), 1946-54",1000,1946,8,Philippines
,"Paraguay, 1947",1000,1947,0,Paraguay
,"Indonesia (Aceh), 1953-59",1000,1953,6,Indonesia
,"China (offshore islands), 1954-58",1000,1954,4,China
,"Guatemala (with intervention from Honduras, Nicaragua and United States), 1954",1000,1954,0,Guatemala
,"Cypriots-Britain, 1955-59",1000,1955,4,Cypriots
